time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-02-28T19:27:14.200Z,34.6277,-117.118,0,1.3,Ml,,64.8,0.21559567,0.16,ci,ci11250250,2013-03-01T01:30:51.610Z,"0km SE of Quarry at VICTORVILLE",quarry
2013-02-28T19:20:47.300Z,38.8377,-122.8288,2.7,1,Md,,50.4,0.00898315,0.05,nc,nc71945915,2013-03-06T22:48:55.840Z,"9km W of Cobb, California",earthquake
2013-02-28T19:00:05.300Z,38.8365,-122.7523,1.4,1.2,Md,,57.6,0.00898315,0.06,nc,nc71945905,2013-03-07T19:15:46.560Z,"2km WNW of Cobb, California",earthquake
2013-02-28T18:58:04.500Z,35.0437,-118.3228,0,1.4,Ml,,75.6,0.05389892,0.17,ci,ci11250242,2013-03-01T01:18:15.082Z,"0km SSW of Quarry at MOJAVE",quarry
2013-02-28T18:32:26.430Z,22.4948,94.3901,103.18,4.6,mb,11,189,3.84,0.3,us,usb000fmnf,2013-04-10T15:58:44.846Z,"81km ESE of Hakha, Burma",earthquake
2013-02-28T18:22:19.000Z,61.13,-151.1692,63.4,1.4,Ml,17,54,0.44017449,0.4,ak,ak10664690,2013-03-02T00:33:42.395Z,"49km N of Nikiski, Alaska",earthquake
2013-02-28T18:18:53.600Z,31.9497,-116.1125,6.6,2,Ml,,241.2,0.1527136,0.14,ci,ci11250226,2013-03-01T01:14:49.673Z,"48km E of Ensenada, Mexico",earthquake
2013-02-28T18:15:40.615Z,38.0269,-118.0787,10.2894,2,ml,18,122,0.191,0.1206,nn,nn00404561,2013-02-28T19:01:18.678Z,"73km SE of Hawthorne, Nevada",earthquake
2013-02-28T18:09:53.000Z,60.0472,-151.7657,70.7,1.9,Ml,23,57.6,0.39346209,0.66,ak,ak10665627,2013-03-02T00:33:43.655Z,"30km N of Anchor Point, Alaska",earthquake
2013-02-28T18:07:48.290Z,-10.9222,165.9631,39,5.8,Mwb,373,30,6.1,0.75,us,usc000fee8,2013-09-23T20:01:49.000Z,"26km SSE of Lata, Solomon Islands",earthquake
2013-02-28T17:34:03.769Z,38.0275,-118.0711,8.8025,1.45,ml,13,203,0.197,0.0939,nn,nn00404542,2013-02-28T18:02:02.077Z,"73km SE of Hawthorne, Nevada",earthquake
2013-02-28T17:32:11.700Z,34.8593,-120.4483,0,1.7,Ml,,57.6,0.02694946,0.46,ci,ci11250202,2013-03-01T01:04:23.426Z,"1km WSW of Orcutt, California",earthquake
2013-02-28T17:25:37.515Z,38.0272,-118.0704,10.833,2.01,ml,18,147,0.197,0.1021,nn,nn00404541,2013-02-28T19:42:53.956Z,"73km SE of Hawthorne, Nevada",earthquake
2013-02-28T17:00:51.100Z,42.316,-111.4643,8,1.1,Md,,190.8,0.3054272,0.11,uu,uu60014397,2013-03-01T16:56:14.120Z,"11km NNW of Paris, Idaho",earthquake
2013-02-28T16:21:10.000Z,64.8619,-150.0986,20,1.4,Ml,11,118.8,0.31980024,0.54,ak,ak10663364,2013-03-02T00:33:41.317Z,"29km ESE of Manley Hot Springs, Alaska",earthquake
2013-02-28T16:20:27.100Z,39.684,-123.7147,1.4,1.9,Md,,176.4,0.09881468,0.12,nc,nc71945820,2013-03-06T21:24:30.828Z,"19km W of Laytonville, California",earthquake
2013-02-28T15:39:56.088Z,37.1597,-114.7962,6.2149,2.8,ml,7,130,0.32,0.0734,nn,nn00404526,2013-06-10T21:28:50.887Z,"39km SE of Alamo, Nevada",earthquake
2013-02-28T15:29:25.892Z,38.0237,-118.0646,6.1603,4.05,ml,21,148,0.2,0.1225,nn,nn00404523,2013-06-10T21:22:02.844Z,"73km W of Tonopah, Nevada",earthquake
2013-02-28T15:22:32.218Z,38.5604,-119.4968,6.2005,1.21,ml,7,171,0.073,0.0524,nn,nn00405018,2013-03-05T01:46:31.240Z,"28km SSW of Smith Valley, Nevada",earthquake
2013-02-28T15:22:20.000Z,62.6618,-150.8592,77.1,1.3,Ml,16,136.8,0.63870217,0.45,ak,ak10665624,2013-03-02T00:33:43.626Z,"53km NW of Talkeetna, Alaska",earthquake
2013-02-28T15:21:12.000Z,54.6561,-161.3013,30.3,2.9,Ml,15,212.4,0.5874982,0.32,ak,ak10663350,2013-03-02T00:33:42.479Z,"91km SW of Sand Point, Alaska",earthquake
2013-02-28T15:06:31.000Z,38.8203,-122.804,3.7,2.5,Md,,21.6,0.00898315,0.06,nc,nc71945780,2013-03-01T00:55:11.460Z,"7km W of Cobb, California",earthquake
2013-02-28T15:01:42.316Z,38.5596,-119.5001,7.5074,1.25,ml,10,173,0.074,0.0748,nn,nn00405013,2013-03-05T01:40:44.436Z,"28km SSW of Smith Valley, Nevada",earthquake
2013-02-28T14:58:26.400Z,38.5658,-119.5085,1.7,2.9,Md,,176.4,0.08084838,0.04,nc,nc71945775,2013-03-01T01:20:09.355Z,"28km SSW of Smith Valley, Nevada",earthquake
2013-02-28T14:52:15.000Z,57.8299,-153.3277,52,2,Ml,9,147.6,0.60726113,0.38,ak,ak10665622,2013-03-02T00:33:43.763Z,"43km W of Kodiak Station, Alaska",earthquake
2013-02-28T14:41:34.000Z,61.8821,-149.0201,32.2,1.3,Ml,22,61.2,0.29464741,0.4,ak,ak10665621,2013-03-02T00:33:42.602Z,"13km NW of Sutton-Alpine, Alaska",earthquake
2013-02-28T14:17:15.000Z,63.3242,-145.2574,6.2,1.9,Ml,13,57.6,0.24973165,0.64,ak,ak10663334,2013-03-02T00:33:41.300Z,"61km S of Deltana, Alaska",earthquake
2013-02-28T14:15:21.070Z,34.1343,-107.03,5.01,3.4,ML,16,73,0.06,0.52,us,usc000fesx,2013-06-10T21:22:17.920Z,"15km WNW of Socorro, New Mexico",earthquake
2013-02-28T14:15:10.400Z,38.8343,-122.877,3.5,1.7,Md,,32.4,0.00898315,0.07,nc,nc71945755,2013-02-28T21:51:11.607Z,"12km ENE of Cloverdale, California",earthquake
2013-02-28T14:10:47.000Z,61.6062,-150.8648,66.7,2.2,Ml,25,57.6,0.1527136,0.5,ak,ak10663318,2013-03-02T00:33:42.411Z,"46km WSW of Willow, Alaska",earthquake
